contract,month,settlement,settlementISO
CLM15,May,19 May 2015,2015-05-19T00:00:00
CLN15,Jun,22 Jun 2015,2015-06-22T00:00:00
CLQ15,Jul,21 Jul 2015,2015-07-21T00:00:00
CLU15,Aug,20 Aug 2015,2015-08-20T00:00:00
CLV15,Sep,22 Sep 2015,2015-09-22T00:00:00
CLX15,Oct,20 Oct 2015,2015-10-20T00:00:00
CLZ15,Nov,20 Nov 2015,2015-11-20T00:00:00
CLF16,Dec,21 Dec 2015,2015-12-21T00:00:00
CLG16,Jan,20 Jan 2016,2016-01-20T00:00:00
CLH16,Feb,22 Feb 2016,2016-02-22T00:00:00
CLJ16,Mar,21 Mar 2016,2016-03-21T00:00:00
CLK16,Apr,20 Apr 2016,2016-04-20T00:00:00
CLM16,May,20 May 2016,2016-05-20T00:00:00
CLN16,Jun,21 Jun 2016,2016-06-21T00:00:00
CLQ16,Jul,20 Jul 2016,2016-07-20T00:00:00
CLU16,Aug,22 Aug 2016,2016-08-22T00:00:00
CLV16,Sep,20 Sep 2016,2016-09-20T00:00:00
CLX16,Oct,20 Oct 2016,2016-10-20T00:00:00
CLZ16,Nov,21 Nov 2016,2016-11-21T00:00:00
CLF17,Dec,20 Dec 2016,2016-12-20T00:00:00
CLG17,Jan,20 Jan 2017,2017-01-20T00:00:00
CLH17,Feb,21 Feb 2017,2017-02-21T00:00:00
CLJ17,Mar,21 Mar 2017,2017-03-21T00:00:00
CLK17,Apr,20 Apr 2017,2017-04-20T00:00:00
CLM17,May,22 May 2017,2017-05-22T00:00:00
CLN17,Jun,20 Jun 2017,2017-06-20T00:00:00
CLQ17,Jul,20 Jul 2017,2017-07-20T00:00:00
CLU17,Aug,22 Aug 2017,2017-08-22T00:00:00
CLV17,Sep,20 Sep 2017,2017-09-20T00:00:00
CLX17,Oct,20 Oct 2017,2017-10-20T00:00:00
CLZ17,Nov,20 Nov 2017,2017-11-20T00:00:00
CLF18,Dec,19 Dec 2017,2017-12-19T00:00:00
CLG18,Jan,22 Jan 2018,2018-01-22T00:00:00
CLH18,Feb,20 Feb 2018,2018-02-20T00:00:00
CLJ18,Mar,20 Mar 2018,2018-03-20T00:00:00
CLK18,Apr,20 Apr 2018,2018-04-20T00:00:00
CLM18,May,22 May 2018,2018-05-22T00:00:00
CLN18,Jun,20 Jun 2018,2018-06-20T00:00:00
CLQ18,Jul,20 Jul 2018,2018-07-20T00:00:00
CLU18,Aug,21 Aug 2018,2018-08-21T00:00:00
CLV18,Sep,20 Sep 2018,2018-09-20T00:00:00
CLX18,Oct,22 Oct 2018,2018-10-22T00:00:00
CLZ18,Nov,19 Nov 2018,2018-11-19T00:00:00
CLF19,Dec,19 Dec 2018,2018-12-19T00:00:00
CLG19,Jan,22 Jan 2019,2019-01-22T00:00:00
CLH19,Feb,20 Feb 2019,2019-02-20T00:00:00
CLJ19,Mar,20 Mar 2019,2019-03-20T00:00:00
CLK19,Apr,22 Apr 2019,2019-04-22T00:00:00
CLM19,May,21 May 2019,2019-05-21T00:00:00
CLN19,Jun,20 Jun 2019,2019-06-20T00:00:00
CLQ19,Jul,22 Jul 2019,2019-07-22T00:00:00
CLU19,Aug,20 Aug 2019,2019-08-20T00:00:00
CLV19,Sep,20 Sep 2019,2019-09-20T00:00:00
CLX19,Oct,22 Oct 2019,2019-10-22T00:00:00
CLZ19,Nov,20 Nov 2019,2019-11-20T00:00:00
CLF20,Dec,19 Dec 2019,2019-12-19T00:00:00
CLG20,Jan,21 Jan 2020,2020-01-21T00:00:00
CLH20,Feb,20 Feb 2020,2020-02-20T00:00:00
CLJ20,Mar,20 Mar 2020,2020-03-20T00:00:00
CLK20,Apr,21 Apr 2020,2020-04-21T00:00:00
CLM20,May,19 May 2020,2020-05-19T00:00:00
CLN20,Jun,22 Jun 2020,2020-06-22T00:00:00
CLQ20,Jul,21 Jul 2020,2020-07-21T00:00:00
CLU20,Aug,20 Aug 2020,2020-08-20T00:00:00
CLV20,Sep,22 Sep 2020,2020-09-22T00:00:00
CLX20,Oct,20 Oct 2020,2020-10-20T00:00:00
CLZ20,Nov,20 Nov 2020,2020-11-20T00:00:00
CLM21,May,20 May 2021,2021-05-20T00:00:00
CLZ21,Nov,19 Nov 2021,2021-11-19T00:00:00
CLM22,May,20 May 2022,2022-05-20T00:00:00
CLZ22,Nov,21 Nov 2022,2022-11-21T00:00:00
CLM23,May,22 May 2023,2023-05-22T00:00:00
CLZ23,Nov,20 Nov 2023,2023-11-20T00:00:00
